hidden_units,epochs,.metric,.estimator,mean,n,std_err,.config,.iter
12,89,rmse,standard,0.07900928607331069,5,0.001305927400392291,Preprocessor1_Model1,0
5,52,rmse,standard,0.08381190949134093,5,4.596714077489939e-4,Preprocessor1_Model2,0
14,44,rmse,standard,0.08344684161350245,5,0.001759804422046416,Preprocessor1_Model3,0
10,17,rmse,standard,0.09302520729606141,5,6.012288761817464e-4,Preprocessor1_Model4,0
7,68,rmse,standard,0.08070446697636875,5,0.0014267086288119112,Preprocessor1_Model5,0
15,81,rmse,standard,0.07961413982486061,5,0.0011473398804248487,Iter1,1
6,100,rmse,standard,0.07895798650659432,5,0.0013374799474054199,Iter2,2
8,94,rmse,standard,0.07902205377343081,5,0.0011920419128614126,Iter3,3
9,100,rmse,standard,0.07964108298473974,5,0.0010327644567733375,Iter4,4
5,90,rmse,standard,0.07887667737499897,5,0.0012354296219729982,Iter5,5
6,93,rmse,standard,0.07905725369558127,5,0.0012442368321234506,Iter6,6
5,100,rmse,standard,0.07883810105599491,5,0.0011610200177882824,Iter7,7
8,88,rmse,standard,0.07894536420764596,5,0.0011402806359100699,Iter8,8
5,99,rmse,standard,0.07942451200358702,5,0.0012307501438166965,Iter9,9
8,90,rmse,standard,0.07897040398895788,5,0.0012439832740956764,Iter10,10
