hidden_units,epochs,.metric,.estimator,mean,n,std_err,.config
5,43,rmse,standard,0.08312135358808792,5,0.0016959716890320167,Preprocessor1_Model01
6,59,rmse,standard,0.0809605501532972,5,0.0012306564794127587,Preprocessor1_Model02
15,23,rmse,standard,0.0906071461304426,5,7.810705172231861e-4,Preprocessor1_Model03
15,38,rmse,standard,0.08691764096803527,5,8.012628281979951e-4,Preprocessor1_Model04
10,35,rmse,standard,0.0863747135877819,5,0.0017134154398124014,Preprocessor1_Model05
11,45,rmse,standard,0.08462009268187601,5,0.0018032599579545085,Preprocessor1_Model06
15,92,rmse,standard,0.07900578455122247,5,0.0013965406599566377,Preprocessor1_Model07
10,57,rmse,standard,0.0803453542938277,5,0.0011724228038870008,Preprocessor1_Model08
8,98,rmse,standard,0.07919690102746343,5,0.0013941991184861279,Preprocessor1_Model09
9,47,rmse,standard,0.08329661660307512,5,0.0017303007481948404,Preprocessor1_Model10
