hidden_units,epochs,.metric,.estimator,mean,n,std_err,.config,.iter
11,37,rmse,standard,0.08636232058037092,5,0.0019403477992998464,Preprocessor1_Model1,0
15,18,rmse,standard,0.09251735825272263,5,8.024378888926935e-4,Preprocessor1_Model2,0
11,63,rmse,standard,0.08138846300266708,5,0.0011705075487294175,Preprocessor1_Model3,0
6,74,rmse,standard,0.07933839449776048,5,0.0012965848554369337,Preprocessor1_Model4,0
7,86,rmse,standard,0.0790740054409298,5,0.0012280997080216529,Preprocessor1_Model5,0
6,86,rmse,standard,0.07931903562508988,5,0.001302049546923492,Iter1,1
7,85,rmse,standard,0.07918942323049963,5,0.0010439262191378927,Iter2,2
7,87,rmse,standard,0.0789454531637482,5,0.0014484904514728855,Iter3,3
7,88,rmse,standard,0.0792208086305656,5,0.001308782408454901,Iter4,4
9,87,rmse,standard,0.07926586525480928,5,0.0014309736323515415,Iter5,5
8,87,rmse,standard,0.07921486286665592,5,0.0013220180207185698,Iter6,6
6,87,rmse,standard,0.07914278583294584,5,9.837685572828471e-4,Iter7,7
10,87,rmse,standard,0.07904928343826065,5,0.0011560850078647378,Iter8,8
5,87,rmse,standard,0.08005794240651573,5,0.0015945029621420549,Iter9,9
10,86,rmse,standard,0.07921544042715896,5,0.0014131659943538422,Iter10,10
